country,continent,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,life_expectancy,gdp_per_capita,diabetes_prevalence,hospital_beds_per_thousand,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,case_fatality_rate,vaccination_status
Afghanistan,Asia,2026-07-19,235214.0,7998.0,5796.4683,197.09776,40578847.0,62.21554946899414,16.75200080871582,65.61699676513672,1964.4522705078125,11.699999809265137,0.3499999940395355,,,3.400307804807537,No Data
Africa,,2026-07-19,13064432.0,258288.0,9233.474,182.54872,1445862695.0,48.32152938842773,18.893999099731445,62.920501708984375,,,,,,1.9770319903689653,No Data
Albania,Europe,2026-07-19,337234.0,3608.0,119264.51,1275.9874,2827614.0,103.19759368896484,35.94300079345703,78.768798828125,22724.29296875,10.600000381469728,2.900000095367432,,,1.069880261183629,No Data
Algeria,Africa,2026-07-19,272440.0,6881.0,5990.669,151.30595,45477391.0,19.094181060791016,27.982999801635746,76.12889862060547,15882.7138671875,17.5,1.6100000143051147,,,2.5256937307297016,No Data
American Samoa,Oceania,2026-07-19,8359.0,34.0,172831.6,702.9877,48365.0,241.8249969482422,27.927000045776367,72.7520980834961,,,,,,0.40674721856681423,No Data
Andorra,Europe,2026-07-19,48015.0,159.0,602280.44,1994.4307,79722.0,169.62127685546875,42.83200073242188,84.01640319824219,67993.0546875,10.100000381469728,,,,0.331146516713527,No Data
Angola,Africa,2026-07-19,107487.0,1937.0,3016.3298,54.35663,35635028.0,28.58348274230957,16.389999389648438,64.24549865722656,8760.1904296875,4.900000095367432,0.75,,,1.8020783908751756,No Data
Anguilla,North America,2026-07-19,3904.0,12.0,274890.88,844.9514,14202.0,157.8000030517578,37.77299880981445,79.11940002441406,,,,,,0.3073770491803279,No Data
Antigua and Barbuda,North America,2026-07-19,9106.0,146.0,98072.16,1572.4286,92850.0,211.0227203369141,35.071998596191406,77.4832992553711,30620.306640625,11.600000381469728,3.4200000762939453,,,1.6033384581594552,No Data
Argentina,South America,2026-07-19,10119594.0,130850.0,222859.75,2881.657,45407904.0,16.59227180480957,31.73900032043457,75.80609893798828,27846.59765625,14.0,3.359999895095825,,,1.2930360644903343,No Data
Armenia,Asia,2026-07-19,454903.0,8785.0,157904.19,3049.4155,2880880.0,101.19002532958984,35.814998626708984,74.63330078125,21153.478515625,7.699999809265137,4.239999771118164,,,1.931180933078041,No Data
Aruba,North America,2026-07-19,44224.0,292.0,410271.62,2708.921,107792.0,598.8444213867188,40.766998291015625,76.22579956054688,45428.00390625,4.599999904632568,,,,0.66027496382055,No Data
Asia,,2026-07-19,302204311.0,1637901.0,64097.777,347.40012,4746329727.0,152.5875244140625,31.334999084472656,74.42780303955078,,,,,,0.5419846575252859,No Data
Asia excl. China,,2026-07-19,202822550.0,1515503.0,61656.44,460.70087,,,,,,,,,,0.7472063633949972,No Data
Australia,Oceania,2026-07-19,11861161.0,25236.0,452699.0,963.1698,26200987.0,3.4062557220458984,37.512001037597656,82.76619720458984,60194.0625,7.400000095367432,3.819999933242798,,,0.2127616343796362,No Data
Austria,Europe,2026-07-19,6083792.0,22534.0,671153.7,2485.9128,9064678.0,109.84825134277344,42.83200073242188,81.2958984375,63970.40234375,5.400000095367432,6.699999809265137,,,0.3703939911160671,No Data
Azerbaijan,Asia,2026-07-19,836510.0,10353.0,81251.586,1005.6038,10295307.0,124.56511688232422,32.0620002746582,74.125,22314.216796875,10.199999809265137,3.680000066757202,,,1.2376421082832243,No Data
Bahamas,North America,2026-07-19,39127.0,849.0,98422.305,2135.6233,397542.0,39.71448516845703,34.23400115966797,74.49109649658203,36244.05078125,8.899999618530273,2.1700000762939453,,,2.1698571319038003,No Data
Bahrain,Asia,2026-07-19,696614.0,1536.0,454275.94,1001.6564,1533460.0,1941.088623046875,31.683000564575195,80.99210357666016,60669.62890625,22.100000381469727,1.840000033378601,,,0.22049513790994724,No Data
Bangladesh,Asia,2026-07-19,2052280.0,29531.0,12116.075,174.34259,169384891.0,1301.259033203125,24.989999771118164,74.26470184326172,8676.755859375,13.199999809265137,0.9200000166893004,,,1.4389362075350343,No Data
Barbados,North America,2026-07-19,109141.0,593.0,386580.66,2100.4236,282324.0,656.5674438476562,38.652000427246094,75.67610168457031,22127.361328125,13.199999809265137,6.400000095367432,,,0.5433338525393756,No Data
Belarus,Europe,2026-07-19,994102.0,7118.0,108369.78,775.95264,9173240.0,45.19950866699219,40.19200134277344,74.36119842529297,29666.2109375,5.099999904632568,9.770000457763672,,,0.7160231042689784,No Data
Belgium,Europe,2026-07-19,4908331.0,34339.0,421612.22,2949.6262,11641814.0,384.4720458984375,41.1510009765625,81.15889739990234,63488.421875,5.900000095367432,5.420000076293945,,,0.6996064446346426,No Data
Belize,North America,2026-07-19,71499.0,688.0,177530.97,1708.294,402741.0,17.656335830688477,25.520999908447266,72.19039916992188,12788.8427734375,14.100000381469728,1.0,,,0.9622512202967873,No Data
Benin,Africa,2026-07-19,28036.0,163.0,2037.573,11.8463545,13759507.0,122.02471923828124,17.645999908447266,60.47510147094727,4116.21533203125,8.100000381469727,0.4300000071525574,,,0.5813953488372093,No Data
Bermuda,North America,2026-07-19,18860.0,165.0,291175.2,2547.397,64772.0,1199.4814453125,44.70299911499024,82.06159973144531,104299.9453125,13.399999618530272,,,,0.8748674443266171,No Data
Bhutan,Asia,2026-07-19,62961.0,21.0,80624.03,26.891325,780921.0,20.47511863708496,28.809999465942383,72.75399780273438,16743.87109375,12.0,2.1600000858306885,,,0.03335398103587935,No Data
Bolivia,South America,2026-07-19,1212187.0,22389.0,100370.234,1853.8304,12077156.0,11.148487091064451,24.392000198364254,67.43419647216797,11000.5341796875,3.400000095367432,1.4900000095367432,,,1.8469922544953874,No Data
Bonaire Sint Eustatius and Saba,North America,2026-07-19,11922.0,41.0,416067.56,1430.8647,28654.0,88.98757934570312,39.77299880981445,78.15450286865234,,,,,,0.3439020298607616,No Data
